VariationID,Anchor,TargetToken,LogProbFullPrompt,Shapley_scene,Shapley_comparative,Shapley_absolute,Shapley_anchor,TargetInt
3,65,88%,-20.04955220222473,0.660127304494381,-1.8314435705542564,-3.1616096571087837,-0.26172053068876266,88
3,65,89%,-19.65387451648712,0.8907103985548019,-2.1536711901426315,-2.316895440220833,0.25175629556179047,89
3,65,90%,-17.81352174282074,0.5799815654754639,-1.8443012535572052,-1.500469595193863,-0.73218834400177,90
3,65,91%,-20.24960470199585,0.24580421298742294,-2.166893593966961,-2.1754497066140175,-0.21166496723890305,91
3,65,92%,-19.479151129722595,-0.5676248744130135,-1.5985815450549126,-1.445400394499302,0.4741390123963356,92
3,65,93%,-19.911799907684326,0.06944312900304794,-1.6312932148575783,-2.1909810230135918,0.18661818653345108,93
3,65,94%,-19.876213550567627,0.1309385970234871,-1.684335209429264,-1.8524152263998985,-0.181633822619915,94
3,65,95%,-19.10505101084709,0.49889225885272026,-2.8207799158990383,-1.5443854369223118,-0.2805081866681576,95
3,65,96%,-21.47282040119171,0.11437782645225525,-2.874281257390976,-2.6027322709560394,0.19419172406196594,96
3,65,97%,-20.68677008152008,0.4487059637904167,-2.755847819149494,-2.870128743350506,-0.107032410800457,97
3,65,98%,-19.944339990615845,0.48074743151664734,-2.0183657109737396,-2.5573171079158783,0.06565167009830475,98
3,65,99%,-18.681018114089966,1.2363412231206894,-2.3163411617279053,-2.9434854984283447,-0.6435167491436005,99
3,65,100%,-17.774310767650604,1.9565394520759583,-2.547794759273529,-2.4257506877183914,-0.7644024044275284,100
4,10,0%,-14.098969221115112,1.1803746223449707,-1.516025960445404,0.7883034944534302,0.34533923864364624,0
4,10,1%,-13.403797388076782,0.513300746679306,-1.7225163877010345,1.2696609795093536,-0.2773413062095642,1
4,10,2%,-14.549612641334534,0.1775883585214615,-1.2339608520269394,-0.017955347895622253,-0.7274771481752396,2
4,10,3%,-15.348247289657593,-0.15871774405241013,-1.1791418865323067,0.05019593983888626,-0.7947153076529503,3
4,10,4%,-15.032925724983215,-0.4429127871990204,-0.9902450442314148,0.5836266577243805,-0.8720278143882751,4
4,10,5%,-12.920335948467255,-0.2347920835018158,0.09966684877872467,-0.08695575594902039,-0.42599478363990784,5
4,10,6%,-15.256526231765747,-0.41093809902668,-0.6802801936864853,-0.12278874218463898,-1.4428832679986954,6
4,10,7%,-14.863957643508911,-0.40285320580005646,-0.616927370429039,-0.2940673381090164,-1.0698671489953995,7
4,10,8%,-15.019951939582825,-0.5742548033595085,-0.7384096756577492,0.4923946335911751,-0.9387243017554283,8
4,10,9%,-15.15876042842865,-0.6357447504997253,-0.37340447306632996,0.2489892840385437,-1.4210630357265472,9
4,10,10%,-12.948712229728699,-0.31716588139533997,-1.6121276766061783,-0.09489460289478302,0.22542119026184082,10
4,10,11%,-15.644967317581177,-0.8822338581085205,-0.9527841806411743,0.13855135440826416,-0.6008386313915253,11
4,10,12%,-15.163983345031738,-0.6509916484355927,-0.2922804355621338,0.618619978427887,-0.5957128703594208,12
4,10,13%,-16.04309356212616,-0.5962707251310349,-0.1934366673231125,-0.494049534201622,-0.14723388850688934,13
4,10,14%,-16.074218034744263,-0.7236859202384949,0.21281015872955322,-0.06345388293266296,-0.339995801448822,14
4,10,15%,-14.267639517784119,-0.7743894904851913,-0.3751564472913742,0.0972743034362793,-0.08866645395755768,15
4,10,16%,-16.05824565887451,-0.6134849488735199,-0.3610306978225708,0.7623292207717896,-0.5701600909233093,16
