VariationID,Anchor,TargetToken,LogProbFullPrompt,Shapley_scene,Shapley_comparative,Shapley_absolute,Shapley_anchor,TargetInt
0,10,0%,-31.74657440185547,-2.200755849480629,3.9186725467443466,-0.2892337292432785,-3.805828496813774,0
0,10,1%,-44.199827671051025,-2.1064366698265076,2.5532561540603638,-3.6369661688804626,-3.5276796221733093,1
0,10,2%,-45.813663959503174,-1.6795285940170288,1.871036171913147,-3.108044981956482,-3.733322858810425,2
0,10,3%,-45.82073163986206,-1.9656231999397278,2.2125051617622375,-2.0383113026618958,-3.3472869992256165,3
0,10,4%,-44.78159952163696,-2.264065593481064,2.508792608976364,-1.1057160794734955,-3.704424411058426,4
0,10,5%,-39.29128074645996,-0.8426280170679092,3.4111856669187546,-0.4522876888513565,-3.140473887324333,5
0,10,6%,-44.57080411911011,-1.5657002329826355,2.106670320034027,-1.3248021006584167,-3.4268329739570618,6
0,10,7%,-42.81618356704712,-1.4039146900177002,2.4987911581993103,-1.1980257034301758,-3.6658913493156433,7
0,10,8%,-42.61853361129761,-1.795449361205101,2.76936574280262,-1.3608093112707138,-3.0405833274126053,8
0,10,9%,-43.61776304244995,-1.2152283787727356,2.1087405681610107,-2.0689297318458557,-2.6848397850990295,9
0,10,10%,-39.03175097703934,-2.1917588487267494,4.995785780251026,-1.6245291978120804,-0.23370575904846191,10
0,10,11%,-46.84169554710388,-2.3727587684988976,3.728826306760311,-1.777642346918583,-1.8633516356348991,11
0,10,12%,-48.04901623725891,-3.437990892678499,3.9200027249753475,-1.3460673578083515,-3.600760143250227,12
0,10,13%,-48.14041709899902,-2.827296754345298,3.3935151007026434,-1.802464498206973,-2.805637137964368,13
0,10,14%,-47.927778244018555,-3.267429955303669,4.142730362713337,-1.0330958291888237,-2.943949468433857,14
0,10,15%,-45.01240736246109,-2.9524163864552975,4.772985216230154,-0.9294877517968416,-3.567200107499957,15
0,10,16%,-46.9446194767952,-2.4326234944164753,3.8401382081210613,-1.4221320785582066,-2.5816430561244488,16
0,10,17%,-46.224877059459686,-2.890229444950819,3.9309064261615276,-1.6864698641002178,-2.9900961853563786,17
0,10,18%,-46.86734753847122,-2.566667292267084,2.9910417087376118,-1.79250543192029,-2.769802864640951,18
0,10,19%,-47.647231698036194,-1.9839989244937897,3.2054907381534576,-2.3610746264457703,-2.1993556320667267,19
0,10,20%,-41.44998103380203,-1.4170914590358734,4.8299150466918945,-0.23635943979024887,-3.8340993598103523,20
0,10,21%,-48.430755853652954,-1.8218035027384758,3.5218385383486748,-0.8355583474040031,-3.2312671318650246,21
0,10,22%,-48.89769268035889,-2.669536504894495,3.5975374914705753,-1.1712707690894604,-3.939372096210718,22
0,10,23%,-48.3816699385643,-1.984895572066307,3.587262723594904,-0.8461892232298851,-3.8673185110092163,23
0,10,24%,-48.936442136764526,-2.2965980023145676,3.263416111469269,-1.382010355591774,-3.8829303085803986,24
0,10,25%,-43.01359850168228,-1.90245589800179,4.898171475157142,-0.37764888256788254,-3.962022878229618,25
0,10,26%,-47.44963997602463,-1.790920965373516,3.803810402750969,-0.8312254920601845,-3.6238710060715675,26
0,10,27%,-46.87883687019348,-2.1065561417490244,3.9464308116585016,-1.2261340636759996,-4.262124998494983,27
0,10,28%,-47.119561195373535,-2.0358909256756306,3.480659957975149,-0.9856868647038937,-4.003336984664202,28
0,10,29%,-47.75448787212372,-2.1018056236207485,3.444390792399645,-1.2977454625070095,-3.6408627964556217,29
0,10,30%,-42.78439277410507,-2.0173408146947622,5.024104638025165,0.08035817556083202,-3.9087633471935987,30
0,10,31%,-49.976602435112,-2.295439101755619,3.690281957387924,-0.6699798330664635,-3.225587047636509,31
0,10,32%,-49.801822543144226,-2.4285770058631897,3.1308039352297783,-0.5653842091560364,-3.792833223938942,32
0,10,33%,-49.14838790893555,-1.5782474502921104,2.879849173128605,-2.046671874821186,-2.9253234043717384,33
0,10,34%,-48.671064257621765,-2.616445057094097,3.639625944197178,0.023787803947925568,-4.051468305289745,34
0,10,35%,-45.38526409864426,-2.292641901411116,3.849480747245252,0.10128216724842787,-3.4613546011969447,35
0,10,36%,-47.848146200180054,-2.439514182507992,3.223221831023693,-0.2549813687801361,-3.875675916671753,36
0,10,37%,-46.6324962079525,-2.012616526335478,3.4832951724529266,-0.10990573465824127,-3.7330496832728386,37
0,10,38%,-47.83618491888046,-2.324787301942706,3.039336485788226,-0.8678888250142336,-3.551883539184928,38
0,10,39%,-48.3097950220108,-2.0130248218774796,3.4446700140833855,-0.805345457047224,-3.6263797990977764,39
0,10,40%,-42.68749558925629,-2.422454562969506,4.781734646297991,0.5912761176005006,-4.7531789327040315,40
0,10,41%,-48.73752725124359,-2.106980372220278,3.493207696825266,0.2048208750784397,-4.2488945834338665,41
0,10,42%,-48.23830786347389,-2.055975316092372,3.3027620036154985,0.0978126022964716,-4.552383789792657,42
0,10,43%,-49.21842861175537,-1.8063585422933102,3.190333593636751,-0.28997671976685524,-4.679914075881243,43
0,10,44%,-48.479833513498306,-2.1391877997666597,3.3656315077096224,-0.33334402926266193,-4.502856669947505,44
0,10,45%,-44.31079888343811,-2.322203366085887,4.021287305280566,0.20197699777781963,-4.019268011674285,45
0,10,46%,-47.65345115959644,-1.856817239895463,3.676850685849786,-0.2232899609953165,-4.459018213674426,46
0,10,47%,-46.34718008339405,-2.005921855568886,3.6962163262069225,0.1557055190205574,-4.638063371181488,47
0,10,48%,-46.353088945150375,-1.9048123080283403,3.1267291512340307,-0.4465335141867399,-4.352792927995324,48
0,10,49%,-45.69902025163174,-1.6233768202364445,3.979911081492901,0.14573774859309196,-4.27043965831399,49
0,10,50%,-38.82719139754772,-1.389901990070939,5.679843373596668,0.13767453841865063,-4.0951433181762695,50
0,10,51%,-45.644955188035965,-1.2353495880961418,4.579381234943867,-1.153770849108696,-3.144141271710396,51
0,10,52%,-45.959920555353165,-1.3255502749234438,4.0125764440745115,-0.5601679440587759,-3.5830597672611475,52
0,10,53%,-45.77405525743961,-1.3957121763378382,4.263314446434379,-0.6261285897344351,-3.5094293784350157,53
0,10,54%,-45.44639042019844,-1.6418494544923306,4.087955839931965,-0.607632789760828,-3.41557589545846,54
0,10,55%,-40.8150627464056,-1.2237167805433273,5.3632872849702835,0.07992405444383621,-3.281206604093313,55
0,10,56%,-44.325501799583435,-1.4011736158281565,4.409256210550666,-1.1903539206832647,-3.07605935446918,56
0,10,57%,-43.84390635788441,-1.4537777062505484,4.632294155657291,-1.3281326591968536,-3.1401703283190727,57
0,10,58%,-44.60928854346275,-1.3860521102324128,4.49227502476424,-1.7128570908680558,-2.9420432215556502,58
0,10,59%,-44.84593489766121,-1.5117249190807343,4.164192754775286,-1.6038096994161606,-2.726728692650795,59
0,10,60%,-42.14974620938301,-1.7671798542141914,4.183779902756214,-0.3106154017150402,-3.6768666431307793,60
0,10,61%,-48.58508628606796,-1.327373031526804,2.978218525648117,-0.7725846208631992,-3.046489115804434,61
