VariationID,Anchor,TargetToken,LogProbFullPrompt,Shapley_scene,Shapley_comparative,Shapley_absolute,Shapley_anchor,TargetInt
0,10,0%,-29.127951979637146,0.17992909252643585,8.284320309758186,3.1062478870153427,-2.5719531923532486,0
0,10,1%,-29.855976819992065,0.24734216928482056,8.067301988601685,2.1227419078350067,-2.475527048110962,1
0,10,2%,-31.033999919891357,-0.239803284406662,7.765034526586533,2.2761548459529877,-2.738734155893326,2
0,10,3%,-31.24016761779785,-0.12449195981025696,7.617701858282089,2.366093248128891,-2.712876707315445,3
0,10,4%,-32.01032853126526,-0.10419756174087524,7.721238553524017,1.9823399186134338,-2.789440631866455,4
0,10,5%,-29.354658365249634,-0.07562613487243652,8.42043948173523,2.5292500853538513,-2.1857425570487976,5
0,10,6%,-31.465999126434326,-0.37911728024482727,8.492598086595535,2.227387934923172,-2.6563641130924225,6
0,10,7%,-31.168396949768066,-0.024844855070114136,8.305718630552292,2.478621870279312,-2.3334472477436066,7
0,10,8%,-30.81429123878479,-0.4390898048877716,8.222133368253708,2.2888831794261932,-2.269856184720993,8
0,10,9%,-30.938556909561157,-0.4568062424659729,8.36331456899643,2.257468581199646,-2.513690769672394,9
0,10,10%,-27.095594346523285,0.1390511803328991,8.357328604906797,2.391740318387747,-1.227609645575285,10
0,10,11%,-30.98974895477295,0.00011259317398071289,8.066348284482956,2.2526380717754364,-2.6546383798122406,11
0,10,12%,-30.212750911712646,0.1465546041727066,8.185229495167732,2.344395563006401,-2.6592614501714706,12
0,10,13%,-31.350071907043457,0.036894649267196655,8.023599863052368,2.0295614898204803,-2.694783538579941,13
0,10,14%,-31.255928993225098,0.4277784526348114,8.087551921606064,1.9238126873970032,-2.6173336505889893,14
0,10,15%,-29.185145497322083,0.40781737118959427,8.5591154769063,2.6491215899586678,-2.8618649914860725,15
0,10,16%,-31.668561697006226,0.3683162033557892,7.9337601363658905,1.8591039776802063,-3.023797333240509,16
0,10,17%,-31.848952770233154,0.44267214834690094,7.629348650574684,2.000698462128639,-2.8084286600351334,17
0,10,18%,-31.430649638175964,0.5324823558330536,7.7292512357234955,2.1237910985946655,-2.7684299051761627,18
0,10,19%,-32.31127095222473,0.508220300078392,7.45091538131237,1.7901268750429153,-2.5954547971487045,19
0,10,20%,-29.16022288799286,0.9244674779474735,7.909923184663057,2.806690748780966,-2.6234794817864895,20
0,10,21%,-31.788201689720154,0.31259261071681976,8.038812384009361,1.9243103712797165,-2.7453643530607224,21
0,10,22%,-31.49076497554779,0.29703353345394135,8.01145176589489,2.1011695116758347,-2.9948230534791946,22
0,10,23%,-31.783554434776306,0.32034535706043243,7.698605433106422,2.112673357129097,-2.993431583046913,23
