Model,BSS_model_sum,BSS_model_avg,Variations
Llama-2-7b-hf,4.6021765558467935,0.46021765558467936,10
falcon-rw-1b,1.324926006130207,0.1324926006130207,10
gemma-2b,9.831492452615581,0.9831492452615581,10
gpt-neo-125M,-1.9450504042740309,-0.19450504042740308,10
gpt2,2.890226637857512,0.2890226637857512,10
phi-2,5.893930573395797,0.5893930573395797,10
