VariationID,Anchor1,EV1,EV1_std,CI1_lower,CI1_upper,Anchor2,EV2,EV2_std,CI2_lower,CI2_upper,LogProbMean1,LogProbMean2,t_LogProb,p_LogProb,sig_LogProb,W_LogProb,p_Wilcoxon,sig_Wilcoxon,p_Permutation,sig_Permutation,ShapleyMean1,ShapleyStd1,ShapleyCI1_lower,ShapleyCI1_upper,ShapleyMean2,ShapleyStd2,ShapleyCI2_lower,ShapleyCI2_upper,t_ShapleyAnchor,p_ShapleyAnchor,sig_ShapleyAnchor,Anchoring_EV,Anchoring_ShapleyMean,ShapleyBias,t_EV,p_EV,sig_EV
0,10,25.70246859381678,2.5949030762437,20.6795,31.04,65,52.45055666319999,2.538942954599284,47.299749999999996,57.250249999999994,-31.99122183275695,-31.543657304921954,-4.511156066997761,1.7599484940793355e-05,***,1289.0,1.3113974741627651e-05,***,9.999000099990002e-05,***,-2.651149134419047,0.2877000899528535,-2.7072585030884975,-2.595039765749597,-0.8750163088045498,0.5369395450638076,-0.9797341727862023,-0.7702984448228973,-30.728496135310717,9.59925197612264e-53,***,1,1,0,,,
1,15,38.74445274536681,2.990741260597708,32.77975,44.63025,70,53.55980596460779,3.0100369456601106,47.5,59.35,-29.91947831493793,-30.124370780911775,3.5561477958913077,0.0005768107837648839,***,1352.0,3.401497538815444e-05,***,0.0004999500049995,***,-2.025102444214396,0.2899941132293634,-2.0816592100250118,-1.96854567840378,-1.5654417100537679,0.40642259589219726,-1.6447052072332347,-1.486178212874301,-10.492178811854815,8.271104138042842e-18,***,1,1,0,,,
2,20,28.85276674840494,2.5167395705581463,23.97975,34.070249999999994,75,57.13460683455628,3.0455848902108595,50.89,62.88025,-32.97380024224225,-32.39695565918885,-5.92486721727166,4.4534541174755104e-08,***,882.0,9.6389445293822e-09,***,9.999000099990002e-05,***,-0.16600446067381613,0.3941692451018967,-0.24287822006403936,-0.0891307012835929,0.829333296617364,0.4741691706128492,0.7368573686120452,0.9218092246226828,-17.022868457290393,2.6479144898105836e-31,***,1,1,1,,,
3,25,42.333513272479195,2.8902674902176444,36.50975,47.99,80,53.914399590594435,3.145317865362869,47.628750000000004,59.92,-34.874054733479376,-34.3673384304684,-8.520810683012034,1.7007755131512647e-13,***,437.0,4.341620512238835e-13,***,9.999000099990002e-05,***,-2.3918747342016435,0.4136720801104922,-2.4725520786368906,-2.3111973897663964,-1.726862443177638,0.47644578272492977,-1.8197823726719207,-1.6339425136833554,-11.627428242723342,2.7950803688025564e-20,***,1,1,0,,,
4,30,31.281533708170354,1.860279859480051,27.67975,35.06,85,63.27080129737525,2.9648565576306494,57.20975,68.7905,-38.473883890279446,-37.65300254243435,-5.824761255067649,6.977534284263545e-08,***,1042.0,2.0478490906915754e-07,***,9.999000099990002e-05,***,-3.265767816869118,0.4050219920585722,-3.344758158079556,-3.18677747565868,-1.7295971730133832,0.5587990416437201,-1.8385782353580669,-1.6206161106686996,-23.394999265403104,2.4008556433376467e-42,***,1,1,0,,,
5,35,35.65793579221426,1.9497821972670064,31.84,39.61024999999999,90,71.33724993631364,3.202625584616948,64.72975000000001,77.19049999999999,-31.77617115933116,-31.29994559361793,-4.230512684024605,5.173817099892918e-05,***,1229.0,5.080089276900107e-06,***,9.999000099990002e-05,***,-0.2574113734472211,0.561117468300706,-0.3668445922582138,-0.14797815463622838,-0.26019839856699845,0.5336268439599925,-0.3642701954321752,-0.1561266017018217,0.03193386491318801,0.9745884426967899,,1,0,0,,,
