VariationID,Anchor1,EV1,EV1_std,CI1_lower,CI1_upper,Anchor2,EV2,EV2_std,CI2_lower,CI2_upper,LogProbMean1,LogProbMean2,t_LogProb,p_LogProb,sig_LogProb,W_LogProb,p_Wilcoxon,sig_Wilcoxon,p_Permutation,sig_Permutation,ShapleyMean1,ShapleyStd1,ShapleyCI1_lower,ShapleyCI1_upper,ShapleyMean2,ShapleyStd2,ShapleyCI2_lower,ShapleyCI2_upper,t_ShapleyAnchor,p_ShapleyAnchor,sig_ShapleyAnchor,Anchoring_EV,Anchoring_ShapleyMean,ShapleyBias,t_EV,p_EV,sig_EV
0,10,32.054916570978165,3.1190263551346926,25.99,38.29024999999999,65,42.50215258493889,3.266617189610177,36.0195,48.97,-14.628560390212748,-14.050457277510425,-9.706400399107775,4.359904331941133e-16,***,484.0,1.388013744303172e-12,***,9.999000099990002e-05,***,-0.35133108142578956,0.3024039919402976,-0.41030811224170693,-0.2923540506098722,-0.7011534909505656,0.5869176839746548,-0.8156184558873177,-0.5866885260138134,7.550723776088527,2.07403867807233e-11,***,1,0,0,,,
1,10,46.86057197304646,3.59810660322087,39.72,53.86024999999999,65,55.929887296030756,3.206371429557851,49.5195,62.08174999999997,-13.876409808893015,-13.377186128113529,-8.132492199301925,1.1783396983951844e-12,***,701.0,2.1514004921003384e-10,***,9.999000099990002e-05,***,-0.25463566825826567,0.2635860761036104,-0.3060421461730098,-0.20322919034352155,-0.5743477365536855,0.5015897492441871,-0.6721714256799951,-0.47652404742737603,7.6762494934738985,1.121407783480965e-11,***,1,0,0,,,
2,10,48.24446677685148,3.7891008558420753,40.66975,55.55,65,52.88010379732182,3.64420186793142,45.62975,59.92074999999999,-14.40553811133498,-14.059776240646249,-11.167189497772075,2.7836954855861614e-19,***,359.0,5.971888422986718e-14,***,9.999000099990002e-05,***,-0.9266405145056767,0.2642330103629575,-0.9781731622553644,-0.8751078667559891,-1.2366132921364048,0.45334211282796844,-1.3250273755182362,-1.1481992087545734,9.172806133104727,6.435052350420616e-15,***,1,0,0,,,
3,10,44.24633706615238,3.654590539975577,36.94,51.36,65,51.8382184286491,3.413655701526695,44.92975,58.481499999999976,-14.32852195454116,-13.60027912524667,-17.87410671761077,6.651362889578974e-33,***,39.0,8.491918562330793e-18,***,9.999000099990002e-05,***,-0.21938709261836392,0.2832915705929331,-0.27463667970730543,-0.1641375055294224,-0.43457637592633763,0.42780970894974907,-0.5180109437909683,-0.351141808061707,7.218895646654696,1.0408845505709973e-10,***,1,0,0,,,
4,10,39.743472573594985,2.9206317660202457,33.88975,45.53,65,49.63695271695832,2.804789118601248,44.049749999999996,55.030249999999995,-14.205348401966662,-13.569399125505202,-11.390484548962071,9.111350576523893e-20,***,329.0,2.7340574409435298e-14,***,9.999000099990002e-05,***,-0.46372732276668643,0.28060899723889204,-0.5184537348460915,-0.4090009106872814,-0.7680627902840623,0.47841470203748837,-0.8613667127746865,-0.6747588677934382,7.409363088954607,4.1330536037625086e-11,***,1,0,0,,,
5,10,52.37065506233105,3.8006036467382285,44.7395,59.67074999999999,65,60.212873251579104,3.470782354229387,53.2395,66.78,-14.353428895225619,-13.71300315443832,-13.582250882018103,1.9508715551834615e-24,***,200.0,8.461911305312323e-16,***,9.999000099990002e-05,***,-0.3888150227468203,0.2778350819421193,-0.4430004456452002,-0.3346295998484404,-0.38205871177781925,0.5551076098828627,-0.4903198441926164,-0.27379757936302207,-0.14648537803951153,0.8838331337304132,,1,1,0,,,
