VariationID,Anchor1,EV1,EV1_std,CI1_lower,CI1_upper,Anchor2,EV2,EV2_std,CI2_lower,CI2_upper,LogProbMean1,LogProbMean2,t_LogProb,p_LogProb,sig_LogProb,W_LogProb,p_Wilcoxon,sig_Wilcoxon,p_Permutation,sig_Permutation,ShapleyMean1,ShapleyStd1,ShapleyCI1_lower,ShapleyCI1_upper,ShapleyMean2,ShapleyStd2,ShapleyCI2_lower,ShapleyCI2_upper,t_ShapleyAnchor,p_ShapleyAnchor,sig_ShapleyAnchor,Anchoring_EV,Anchoring_ShapleyMean,ShapleyBias,t_EV,p_EV,sig_EV
0,10,0.012170195118502139,0.08711389125742233,0.0,0.0,65,62.459174571105585,1.0486211716288765,60.26,64.37025,-47.534744755466384,-47.217109961785596,-1.6446840138429732,0.10317508415238935,,1694.0,0.0028246622110061365,***,0.10438956104389562,,-4.577927125156811,0.688916126773238,-4.7122845699034706,-4.443569680410151,-4.351781908750055,1.2952285438589106,-4.604386820658439,-4.0991769968416705,-1.7407415526696837,0.08480472326567676,*,1,1,0,,,
1,15,77.85587257538432,2.6487986252993028,72.389,82.75,70,73.84399919709118,1.294899693307225,71.1695,76.27024999999999,-46.59716520923199,-46.852403299053115,1.380126473370038,0.17062537064062283,,2019.0,0.05940016552690088,*,0.17548245175482452,,-4.703194090875216,0.9630186109538408,-4.891009000096849,-4.515379181653582,-5.335574993854481,1.4777392085964145,-5.623774465971523,-5.047375521737439,3.7648768261440217,0.00028141348800557274,***,0,0,0,,,
2,20,35.049121614145534,2.92568848613238,29.488999999999997,40.98024999999999,75,75.73790589272552,0.8631655863679332,73.90975,77.34,-49.33279183639748,-49.51565694355286,0.758687049605883,0.44982429447060035,,2444.0,0.6559770818089299,,0.4460553944605539,,-2.082349396956218,1.2422556263224935,-2.3246231443521608,-1.840075649560275,-2.1894854307589626,1.4173887882131182,-2.4659149239816722,-1.913055937536253,0.4945416967850309,0.6220083928663901,,1,0,0,,,
3,25,41.15339367698631,2.8513554359862723,35.7,46.9,80,74.64654930093336,1.6663576715333044,70.98,77.62025,-58.9018357222033,-57.62522568664338,-8.214803233584474,7.827217169571499e-13,***,638.0,5.254297858635327e-11,***,9.999000099990002e-05,***,-4.415714797628398,1.1061697209921146,-4.6314480797983855,-4.199981515458411,-3.5231350453588925,0.9298410835499845,-3.704479431345901,-3.3417906593718842,-5.868225969984234,5.743963765091068e-08,***,1,1,0,,,
4,30,30.875025438413537,0.45793589524826656,30.05,31.8,85,84.16147042448365,0.583670364348614,82.83,85.04,-49.85403535640476,-49.78096033024168,-0.15245773330782947,0.8791331113608527,,2529.0,0.8748310227386316,,0.8765123487651235,,-4.567866612686822,1.4661757922092347,-4.853810903051043,-4.2819223223226,-4.991048439839246,1.8019627049983071,-5.342480341580809,-4.639616538097683,1.549168629518168,0.12450028583226812,,1,0,0,,,
5,35,61.76343481307528,2.7720124351221975,56.16975,67.09,90,87.14165473215594,1.1580106479804781,84.5795,89.18,-49.663239317070136,-48.97737628169874,-3.2150584533358724,0.001756644014745262,***,1275.0,1.0548099415648585e-05,***,0.0011998800119988001,***,-1.923576061807499,1.3712416918866424,-2.1910056119254597,-1.6561465116895384,-1.398828665246394,1.1370586801581255,-1.6205861373912442,-1.1770711931015436,-2.76731125775004,0.006734796780738045,***,1,1,0,,,
