VariationID,Anchor1,EV1,EV1_std,CI1_lower,CI1_upper,Anchor2,EV2,EV2_std,CI2_lower,CI2_upper,LogProbMean1,LogProbMean2,t_LogProb,p_LogProb,sig_LogProb,W_LogProb,p_Wilcoxon,sig_Wilcoxon,p_Permutation,sig_Permutation,ShapleyMean1,ShapleyStd1,ShapleyCI1_lower,ShapleyCI1_upper,ShapleyMean2,ShapleyStd2,ShapleyCI2_lower,ShapleyCI2_upper,t_ShapleyAnchor,p_ShapleyAnchor,sig_ShapleyAnchor,Anchoring_EV,Anchoring_ShapleyMean,ShapleyBias,t_EV,p_EV,sig_EV
0,10,24.453624720407376,2.5771242478805325,19.509,29.8,65,33.946445903842616,2.8800361580463414,28.2495,39.680249999999994,-17.63349202599856,-17.52194635466774,-1.8665214852851417,0.06489845028041584,*,2066.0,0.08434725108852371,*,0.06259374062593741,*,-1.1449870810207754,0.503131249505136,-1.243111404764404,-1.0468627572771467,-0.6219122595716231,0.40269097461377823,-0.7004479887685359,-0.5433765303747103,-8.889570403655677,2.6765623411455514e-14,***,1,1,0,,,
1,15,40.06092748707131,2.8048602573477077,34.49,45.64,70,51.15582027819839,2.846231911548822,45.449250000000006,56.65024999999999,-18.931585786661298,-19.187576507872873,3.6104469791362033,0.0004798111537781041,***,1552.0,0.0005258201119000093,***,0.00019998000199980003,***,-1.0498893495907289,0.4994027177557636,-1.1472865078942787,-0.9524921912871791,-0.9076057929213684,0.3857258435544188,-0.9828328585954748,-0.8323787272472621,-2.575438887067038,0.011474441644451269,**,1,1,0,,,
2,20,30.78765102232673,2.3967537704118036,26.14,35.62,75,32.388063822987824,2.6384454037470078,27.239749999999997,37.69024999999999,-19.549367784568577,-19.784034732544775,4.5337923115971925,1.6104838675581616e-05,***,1504.0,0.0002835829760423415,***,9.999000099990002e-05,***,-1.74674335326815,0.4898067919925699,-1.842269044181961,-1.651217662354339,-1.75100970790159,0.48808177020715393,-1.8461989724926402,-1.65582044331054,0.07757187302009316,0.9383236167771307,,1,0,0,,,
3,25,22.603966748341378,2.322011812499557,18.10925,27.42025,80,25.02474264190145,2.533551599305068,20.079749999999997,30.23074999999999,-20.312897845955177,-20.19170377868237,-4.321224537306458,3.667813873748701e-05,***,1359.0,3.7713310799380104e-05,***,9.999000099990002e-05,***,-1.1002743533342192,0.43141026037282265,-1.1844111269828093,-1.0161375796856291,-0.9022162456692445,0.511778589476969,-1.0020270366870723,-0.8024054546514168,-4.023476053952034,0.00011155369215528137,***,1,1,0,,,
4,30,23.419716116617412,1.9487542987969046,19.65,27.430249999999997,85,28.82695803348111,2.6411578893120446,23.66,34.2,-17.185811238713782,-17.140830890967113,-0.7885828103152804,0.4322213930207791,,2410.0,0.5750335175542581,,0.43445655434456554,,-0.6429365749037502,0.3495210711070266,-0.7111027219484005,-0.5747704278590999,-0.2646083071606584,0.4913077745640485,-0.360426730636643,-0.16878988368467385,-8.235940596954519,7.045875606482933e-13,***,1,1,0,,,
5,35,24.680160325945362,2.003841076876177,20.79975,28.7,90,29.558169056860827,2.468037039343112,24.79,34.57,-19.414263244902735,-19.24035141609683,-2.1261411490316453,0.035953439864581944,**,2076.0,0.09062223198791107,*,0.0375962403759624,**,-2.0636297062887707,0.526951994489249,-2.1663997253553084,-1.9608596872222328,-1.8435505711574955,0.5471753223586677,-1.9502646910386503,-1.7368364512763408,-3.271310107069023,0.0014695433033720376,***,1,1,0,,,
