VariationID,Anchor1,EV1,EV1_std,CI1_lower,CI1_upper,Anchor2,EV2,EV2_std,CI2_lower,CI2_upper,LogProbMean1,LogProbMean2,t_LogProb,p_LogProb,sig_LogProb,W_LogProb,p_Wilcoxon,sig_Wilcoxon,p_Permutation,sig_Permutation,ShapleyMean1,ShapleyStd1,ShapleyCI1_lower,ShapleyCI1_upper,ShapleyMean2,ShapleyStd2,ShapleyCI2_lower,ShapleyCI2_upper,t_ShapleyAnchor,p_ShapleyAnchor,sig_ShapleyAnchor,Anchoring_EV,Anchoring_ShapleyMean,ShapleyBias,t_EV,p_EV,sig_EV
0,10,25.70246859381678,2.5949030762437,20.6795,31.04,65,52.45055666319999,2.538942954599284,47.299749999999996,57.250249999999994,-31.99122183275695,-31.543657304921954,-4.511156066997761,1.7599484940793355e-05,***,1289.0,1.3113974741627651e-05,***,9.999000099990002e-05,***,-2.651149134419047,0.2877000899528535,-2.7072585030884975,-2.595039765749597,-0.8750163088045498,0.5369395450638076,-0.9797341727862023,-0.7702984448228973,-30.728496135310717,9.59925197612264e-53,***,1,1,0,,,
1,10,35.97285097527569,2.94327461694592,30.19,41.85,65,51.44223456020513,2.9193870226973435,45.60975,57.05024999999999,-29.872535348528682,-30.043740301439076,3.2388014867314854,0.0016296053436006522,***,1226.0,4.839778774989733e-06,***,0.0011998800119988001,***,-1.9884933418050261,0.23499404944625904,-2.0343235942657323,-1.9426630893443197,-0.830862558714234,0.44720342287595577,-0.9180794300349869,-0.743645687393481,-25.22326704115082,3.816876121197393e-45,***,1,1,0,,,
2,10,23.427269995706936,2.7196249892572393,18.24,29.16,65,52.132086462110415,2.7943209502722883,46.48,57.460249999999995,-32.830630979915654,-32.01786295877825,-8.919395740900724,2.3039267006199836e-14,***,368.0,7.534287669817225e-14,***,9.999000099990002e-05,***,-1.3637946911229946,0.37869372010882957,-1.437650300823617,-1.2899390814223721,1.0818244604633587,0.53596211341033,0.9772972223275416,1.1863516985991758,-36.56637516741227,1.1011632018783024e-59,***,1,1,1,,,
3,10,39.07184121616741,3.1064188069158982,32.89,45.17,65,52.78180522217444,2.81331076240951,47.159499999999994,58.16024999999999,-34.54318300833796,-34.52304167794709,-0.3778269486413656,0.7063599292997864,,2464.0,0.705637500260935,,0.7135286471352865,,-2.4000680208722556,0.3293151593779282,-2.464293463724925,-2.335842578019586,-0.8970774835768608,0.5038420288807541,-0.9953404286953931,-0.7988145384583285,-26.477528105403238,5.571413634644884e-47,***,1,1,0,,,
4,10,22.122096788981327,2.525498492600466,17.3295,27.480999999999987,65,51.00412259335138,2.2880150231791,46.34,55.27025,-37.87009842324965,-37.63901441109063,-1.8156010016190383,0.07242844083727852,*,2053.0,0.07672044824974966,*,0.07439256074392561,*,-3.729908039645836,0.34771290967829543,-3.797721545868458,-3.662094533423214,-1.9683881588464622,0.5592187768858109,-2.0774510810176263,-1.859325236675298,-25.572493517427382,1.1585303285398461e-45,***,1,1,0,,,
5,10,21.308217454874633,2.584748944610546,16.42,26.660249999999998,65,55.03306884969873,2.3761860086688413,50.13,59.48024999999999,-32.106175643382684,-31.31557839843306,-7.858649980447824,4.57041117549943e-12,***,487.0,1.4936337943636034e-12,***,9.999000099990002e-05,***,-1.5956847896006439,0.510168147331392,-1.6951815004522757,-1.496188078749012,0.30674560028727693,0.6544306888049585,0.1791137570272449,0.43437744354730895,-23.605891616462074,1.1214948221203742e-42,***,1,1,1,,,
