VariationID,Anchor1,EV1,EV1_std,CI1_lower,CI1_upper,Anchor2,EV2,EV2_std,CI2_lower,CI2_upper,LogProbMean1,LogProbMean2,t_LogProb,p_LogProb,sig_LogProb,W_LogProb,p_Wilcoxon,sig_Wilcoxon,p_Permutation,sig_Permutation,ShapleyMean1,ShapleyStd1,ShapleyCI1_lower,ShapleyCI1_upper,ShapleyMean2,ShapleyStd2,ShapleyCI2_lower,ShapleyCI2_upper,t_ShapleyAnchor,p_ShapleyAnchor,sig_ShapleyAnchor,Anchoring_EV,Anchoring_ShapleyMean,ShapleyBias,t_EV,p_EV,sig_EV
0,10,24.453624720407376,2.5771242478805325,19.509,29.8,65,33.946445903842616,2.8800361580463414,28.2495,39.680249999999994,-17.63349202599856,-17.52194635466774,-1.8665214852851417,0.06489845028041584,*,2066.0,0.08434725108852371,*,0.06259374062593741,*,-1.1449870810207754,0.503131249505136,-1.243111404764404,-1.0468627572771467,-0.6219122595716231,0.40269097461377823,-0.7004479887685359,-0.5433765303747103,-8.889570403655677,2.6765623411455514e-14,***,1,1,0,,,
1,10,41.76414189178227,3.025317293701524,35.68,47.73049999999999,65,53.90747898333946,2.5583973230122954,48.729749999999996,58.72,-19.164429247674377,-18.857326602876775,-3.9536630862169506,0.0001437600822640374,***,1444.0,0.00012653286125658897,***,0.00019998000199980003,***,-1.2802641890795514,0.4696450874315161,-1.3718577974055324,-1.1886705807535705,-0.6044738766285452,0.4450344022226247,-0.6912677297308842,-0.5176800235262062,-11.495645591218748,5.390358780031649e-20,***,1,1,0,,,
2,10,31.479581100697654,2.549633582371567,26.49975,36.69024999999999,65,32.98682006591352,2.660931395371586,27.77,38.27025,-19.809183406062644,-18.83433188542281,-20.910408958206837,2.7288664249318834e-38,***,6.0,3.1888645425071263e-18,***,9.999000099990002e-05,***,-2.178779962205208,0.426516859417414,-2.261962389130099,-2.095597535280317,-1.104034396035984,0.5542358732183764,-1.2121255160121394,-0.9959432760598286,-18.45596128358328,5.651657387945026e-34,***,1,1,0,,,
3,10,21.338525906834658,2.19655180314528,17.18,25.890499999999992,65,23.456312022198443,2.4418517384269034,18.69,28.520249999999997,-20.267624888384695,-18.85176073058997,-43.44434124580125,9.941628217423903e-67,***,0.0,2.6651409486700556e-18,***,9.999000099990002e-05,***,-1.3757585515959723,0.4294888616929147,-1.4595206000683916,-1.291996503123553,-0.10489378485939291,0.5391346700768138,-0.2100397581219653,0.00025218840317946245,-24.883011285511074,1.2338884295535815e-44,***,1,1,0,,,
4,10,18.12569134646048,1.981834338932847,14.389750000000001,22.21,65,27.218136679998096,2.5095472523709086,22.27,32.280499999999996,-17.050309655099813,-16.427812867825573,-10.250119680792098,2.802430993854055e-17,***,322.0,2.2751050597472838e-14,***,9.999000099990002e-05,***,-0.8385717181470429,0.3639513613570431,-0.9095521655826941,-0.7675912707113917,-0.050799157691769084,0.4429085976751536,-0.13717842089567323,0.03558010551213506,-16.431437091411308,3.614829027315522e-30,***,1,1,0,,,
5,10,21.643528663437273,2.0853251934968142,17.59975,25.92,65,27.16427511275076,2.3896192290881837,22.549500000000002,31.970249999999997,-19.62307857758928,-18.710574214411253,-11.78351916562443,1.2860127348501562e-20,***,252.0,3.513289553074696e-15,***,9.999000099990002e-05,***,-2.17956544739185,0.37152591841658017,-2.2520231401583284,-2.1071077546253716,-1.3169176333242714,0.5837652105269362,-1.4307677799099843,-1.2030674867385585,-12.56976374149437,2.653281109121633e-22,***,1,1,0,,,
