VariationID,Anchor1,EV1,EV1_std,CI1_lower,CI1_upper,Anchor2,EV2,EV2_std,CI2_lower,CI2_upper,LogProbMean1,LogProbMean2,t_LogProb,p_LogProb,sig_LogProb,W_LogProb,p_Wilcoxon,sig_Wilcoxon,p_Permutation,sig_Permutation,ShapleyMean1,ShapleyStd1,ShapleyCI1_lower,ShapleyCI1_upper,ShapleyMean2,ShapleyStd2,ShapleyCI2_lower,ShapleyCI2_upper,t_ShapleyAnchor,p_ShapleyAnchor,sig_ShapleyAnchor,Anchoring_EV,Anchoring_ShapleyMean,ShapleyBias,t_EV,p_EV,sig_EV
0,10,37.972129718522886,3.363057034914516,31.39925,44.54024999999999,65,49.836567390745664,2.9218294653659953,43.95,55.430499999999995,-13.731298716056465,-13.785948628246194,0.646597836172927,0.5193735753384485,,2143.0,0.14287921407162443,,0.5173482651734826,,-0.2621560175672616,0.28689610153580003,-0.31810858655512053,-0.20620344857940268,-0.23242898573084633,0.5787031057693177,-0.34529188374762354,-0.11956608771406911,-0.4464730270409782,0.6562209395307099,,1,1,0,,,
1,15,37.888988729707684,2.992909729966867,31.97,43.720499999999994,70,65.00193643342115,2.0794582056299644,60.63975,68.82024999999999,-13.571346453215817,-13.747855405996342,1.7666898379722682,0.08033136647953593,*,1855.0,0.01465508306366088,**,0.07929207079292071,*,-0.23585607196287353,0.4451321200531308,-0.32266898270881056,-0.1490431612169365,-0.4595849618389465,0.6195584857781535,-0.5804157738713985,-0.3387541498064944,2.6903029814752037,0.008367185521372873,***,1,0,0,,,
2,20,47.384401693738916,3.1396478085250767,40.99975,53.4505,75,63.89702914519468,2.615640639963274,58.46975,68.86025,-13.318404728528296,-13.268887217682186,-0.6413791773159645,0.5227436919976698,,2269.0,0.2991254527585271,,0.5236476352364764,,-0.2982320847118845,0.27146155753339823,-0.35117449642166426,-0.24528967300210477,-0.29325311280565686,0.6337491237537602,-0.4168514864956618,-0.16965473911565193,-0.07297962772358435,0.941968103038572,,1,1,0,,,
3,25,30.541421641540676,2.1308008659098188,26.449749999999998,34.88025,80,53.673371109738206,3.2289531890759036,47.16,59.80074999999999,-13.339971154338063,-13.40565783287039,0.6352178717219494,0.5267371792193785,,2381.0,0.5099629797122729,,0.5325467453254674,,-0.4604912943916746,0.5058600952904907,-0.5591478175316872,-0.36183477125166197,-0.23610772019123086,0.6887465654181776,-0.3704320958464457,-0.10178334453601601,-2.2856412280128553,0.024385815122585842,**,1,1,0,,,
4,30,31.86765293305447,2.8100785902377643,26.41925,37.66,85,47.0871220948365,3.710010234323857,39.7,54.170249999999996,-14.881824992670872,-14.999364019620536,1.1626828115948507,0.2477253727854698,,1936.0,0.030281117297320973,**,0.25207479252074794,,-0.8955172947285199,0.41150764276603047,-0.975772514815658,-0.8152620746413819,-0.7970344567357903,0.732882395613397,-0.9399665237141523,-0.6541023897574283,-1.1445382945929679,0.25513256813510743,,1,1,0,,,
5,35,41.03032772986087,2.3014026306610678,36.56,45.62024999999999,90,69.43719341569752,3.0404014668184676,63.2095,75.08024999999999,-13.321056606893492,-13.346936417393165,0.21409669317217478,0.8309076003943514,,2535.0,0.8908732749937845,,0.8323167683231677,,-0.35569864852667443,0.5737988477359858,-0.4676050823932756,-0.24379221466007328,-0.5616744161758682,0.8210376992574412,-0.7217991730596856,-0.40154965929205094,1.9020521649407696,0.06004198433836695,*,1,0,0,,,
