VariationID,Anchor1,EV1,EV1_std,CI1_lower,CI1_upper,Anchor2,EV2,EV2_std,CI2_lower,CI2_upper,LogProbMean1,LogProbMean2,t_LogProb,p_LogProb,sig_LogProb,W_LogProb,p_Wilcoxon,sig_Wilcoxon,p_Permutation,sig_Permutation,ShapleyMean1,ShapleyStd1,ShapleyCI1_lower,ShapleyCI1_upper,ShapleyMean2,ShapleyStd2,ShapleyCI2_lower,ShapleyCI2_upper,t_ShapleyAnchor,p_ShapleyAnchor,sig_ShapleyAnchor,Anchoring_EV,Anchoring_ShapleyMean,ShapleyBias,t_EV,p_EV,sig_EV
0,10,0.11048942172938184,0.25260659380595524,0.0,0.9,65,62.951738582609536,0.7926863354879368,61.23975,64.35,-45.46668038037744,-44.047822737420844,-6.645335180263009,1.607988119439552e-09,***,689.0,1.6504532499662572e-10,***,9.999000099990002e-05,***,-3.41540190849527,0.6457084709625058,-3.5413326812529684,-3.289471135737571,-2.9166434495041313,1.5906744576002574,-3.2268683770986857,-2.606418521909577,-2.9502045792442306,0.003955266815989458,***,1,1,0,,,
1,10,39.61410846035573,4.068043650769361,31.4,47.43,65,64.84982713273864,0.6254282431370228,63.439499999999995,65.87,-46.58188316264734,-46.74607500369375,0.8748691131412698,0.38374153312271875,,1982.0,0.044371700919821344,**,0.39386061393860616,,-3.809730296786229,0.7727998029151544,-3.9604473475057844,-3.6590132460666736,-3.772854074750483,1.8546752952821197,-4.134566370086086,-3.41114177941488,-0.19167143440222756,0.8483882384889055,,1,1,0,,,
2,10,61.29945668615586,3.473817498621185,54.27975,67.94,65,65.80945536293925,1.1595428075705172,63.49,68.02,-45.95368139755608,-45.524005648633924,-2.175735435922621,0.03193066693710689,**,1737.0,0.0045038160239719354,***,0.0331966803319668,**,-1.6695018331013103,0.8366593193868205,-1.8326732322131405,-1.50633043398948,-1.2966492431639407,1.7069862469897303,-1.629558143754565,-0.9637403425733165,-1.9098621779186795,0.05901650808293585,*,1,1,0,,,
3,10,67.42530570899855,2.7720578653732675,61.76975,72.59,65,61.532746085174104,1.4371219987265675,58.4895,64.22,-57.972970090216336,-57.92197250456798,-0.33452987545112334,0.7386803735539297,,2528.0,0.8721621254466194,,0.7424257574242575,,-2.7809430050091946,0.826767947700957,-2.942185316713858,-2.619700693304531,-1.9826032219519194,1.349299389788498,-2.2457534243710904,-1.7194530195327482,-5.2224908191595985,9.635244577855897e-07,***,0,1,0,,,
4,10,18.186392002128812,2.1237135381200543,14.149750000000001,22.570249999999998,65,64.33159036020896,0.4477094401423299,63.25,65.01,-46.57053635025969,-44.39482876249026,-7.387891600701153,4.588065689853018e-11,***,722.0,3.40791291728819e-10,***,9.999000099990002e-05,***,-3.650658053880797,1.0626930123023453,-3.857912191408152,-3.4434039163534425,-2.7970677571703155,1.8910523265430674,-3.165874566304837,-2.428260948035794,-3.7664992009468126,0.00027981896403051127,***,1,1,0,,,
5,10,59.2457576228283,3.6389186145959256,51.95975,66.11,65,64.6781601377519,0.9397162219072006,62.71,66.36025,-47.02661891370126,-46.07761159876712,-4.53876357203865,1.5793435948013585e-05,***,908.0,1.6149259190935693e-08,***,9.999000099990002e-05,***,-1.2711264280934294,1.0282935253132326,-1.4716717269206347,-1.070581129266224,-0.22528360895858618,1.4595132647466034,-0.5099285246520091,0.059361306734836805,-5.251467028280689,8.519337172220283e-07,***,1,1,0,,,
